date,value
2003.628,27.8
2003.655,30.2
2003.683,32.3
2003.71,32
2003.737,31.8
2003.764,34
2003.791,32
2003.818,32.3
2003.846,31.3
2003.871,30.4
2003.911,29.7
2003.927,33.4
2003.954,32.7
2003.981,29.4
2004.008,30.4
2004.036,35.7
2004.063,35.3
2004.09,33.2
2004.113,27.6
2004.148,32.3
2004.171,32.4
2004.198,32
2004.225,32.1
2004.251,34
2004.279,32.3
2004.307,35.6
2004.334,31.1
2004.361,31
2004.388,30
2004.415,33.8
2004.442,33.1
2004.469,31.8
2004.496,35.7
2004.523,35.8
2004.55,33.9
2004.577,30.7
2004.605,31.9
2004.632,34.2
2004.659,34
2004.686,35.3
2004.713,38.1
2004.74,34.2
2004.767,34.8
2004.794,36.2
2004.821,34.9
2004.848,35.4
2004.875,36.2
2004.902,31.6
2004.93,34.5
2004.957,36
2004.984,42
2005.011,36.4
2005.038,35.6
2005.065,38.1
2005.092,36.8
2005.12,38.4
2005.147,37.7
2005.174,41.6
2005.201,40.4
2005.228,34.5
2005.255,35.3
2005.282,39.7
2005.31,36.8
2005.337,38.7
2005.364,38.6
2005.391,37.8
2005.418,38.7
2005.446,39.5
2005.473,39.8
2005.5,38.5
2005.527,41.1
2005.554,36.8
2005.582,38.6
2005.609,35.9
2005.636,36.7
2005.663,38.5
2005.69,39
2005.712,38.4
2005.749,39
2005.772,40.1
2005.799,38.2
2005.826,38.9
2005.853,42.1
2005.88,41.6
2005.908,41
2005.935,41.2
2005.962,42.2
2005.989,42.4
2006.016,39.8
2006.043,36.1
2006.07,38.3
2006.098,39
2006.125,37.9
2006.152,37.9
2006.179,39.4
2006.206,34.6
2006.233,38.2
2006.261,37.1
2006.288,36.4
2006.315,36.2
2006.342,37.4
2006.369,41.1
2006.396,41.6
2006.424,40.8
2006.451,40.8
2006.478,40
2006.505,41.6
2006.532,41.9
2006.559,40.5
2006.587,38.8
2006.614,36
2006.641,39.6
2006.668,42.4
2006.695,41.8
2006.722,42.8
2006.75,41.6
2006.777,42.2
2006.804,42.4
2006.823,41.6
2006.889,41.5
2006.913,40.3
2006.939,44.6
2006.967,43.1
2006.994,42.2
2007.021,39.2
2007.048,36.9
2007.076,40.1
2007.103,39.6
2007.13,39.2
2007.157,41.2
2007.184,38.4
2007.211,39.7
2007.239,39.8
2007.265,42.9
2007.293,43
2007.32,41.7
2007.347,36.3
2007.374,41.3
2007.402,42.9
2007.429,41.7
2007.456,38.3
2007.483,38.1
2007.51,38.5
2007.537,37.2
2007.565,36.4
2007.592,37.5
2007.619,41.4
2007.646,38.3
2007.673,36.3
2007.7,37
2007.728,41.7
2007.755,40.9
2007.782,39.5
2007.809,40.1
2007.836,37.7
2007.863,41.5
2007.891,46
2007.918,45.5
2007.945,43.3
2007.972,38.3
2007.999,39.7
2008.026,41.6
2008.053,44.2
2008.08,43.6
2008.108,41.1
2008.135,42.5
2008.162,39.3
2008.189,42.2
2008.216,42.8
2008.243,41.1
2008.27,40.4
2008.297,41.5
2008.324,41.3
2008.345,41.3
2008.379,47.3
2008.406,48.3
2008.433,46.2
2008.46,44.9
2008.487,46
2008.514,46.9
2008.541,45
2008.568,43.9
2008.595,42.4
2008.622,44.5
2008.649,42.9
2008.677,43
2008.704,41.3
2008.731,43.6
2008.758,43.7
2008.785,44.5
2008.812,45
2008.839,43.2
2008.866,44.7
2008.893,44
2008.92,48.1
2008.947,44.2
2008.975,43.1
2009.002,45.1
2009.029,46.2
2009.056,46.8
2009.083,45
2009.11,43.1
2009.137,44.9
2009.165,46.3
2009.192,46.5
2009.219,46.9
2009.246,47
2009.273,47.1
2009.3,47.8
2009.328,47.5
2009.355,46.7
2009.382,46.2
2009.409,45.8
2009.436,47.3
2009.463,47.9
2009.491,46.4
2009.518,44.7
2009.545,47.1
2009.572,50.8
2009.599,47.7
2009.626,48.1
2009.654,48.6
2009.681,49.9
2009.708,51.9
2009.735,51
2009.762,50.3
2009.789,50.6
2009.817,52.1
2009.844,53
2009.871,49
2009.898,51.2
2009.925,49.3
2009.952,48.1
2009.98,53.1
2010.007,50.3
2010.034,50.4
2010.061,49.2
2010.088,45.7
2010.115,49.7
2010.143,52.5
2010.17,55.8
2010.197,49.2
2010.224,49.3
2010.251,49
2010.278,51.8
2010.306,51.8
2010.333,49
2010.36,49.8
2010.387,53.4
2010.414,53.1
2010.441,53.7
2010.469,54.1
2010.496,53.7
2010.523,52.4
2010.55,53.3
2010.577,50.7
2010.604,49.2
2010.632,49.5
2010.659,45.3
2010.686,46.9
2010.713,46.6
2010.74,45.7
2010.767,46.1
2010.795,48.7
2010.822,47.2
2010.849,46.1
2010.876,47
2010.903,43.7
2010.93,44.8
2010.958,44.9
2010.985,47.6
2011.012,44.9
2011.039,45
2011.066,46.6
2011.093,45.9
2011.121,45.4
2011.148,45.6
2011.175,46.2
2011.202,46.6
2011.229,43.4
2011.256,45.7
2011.284,44.8
2011.311,44.7
2011.338,42.2
2011.365,46.6
2011.392,47.7
2011.419,47.9
2011.447,49.2
2011.474,51.8
2011.501,49.6
2011.528,49
2011.555,48.2
2011.582,49
2011.61,51.9
2011.637,52.2
2011.664,51.9
2011.691,49.8
2011.718,48.8
2011.745,50.8
2011.773,52.1
2011.8,54
2011.827,49.1
2011.854,48.3
2011.881,49.9
2011.908,54
2011.936,53.1
2011.963,53.9
2011.99,53.4
2012.017,55.5
2012.044,55.3
2012.071,56.9
2012.098,56.5
2012.125,57.1
2012.153,55.2
2012.18,54.8
2012.207,54.9
2012.234,56.6
2012.261,55
2012.288,55.5
2012.315,55.3
2012.342,55.9
2012.369,57.5
2012.396,57
2012.423,56.9
2012.451,61.4
2012.478,59.9
2012.505,59.6
2012.532,62.9
2012.559,64.2
2012.586,61.9
2012.613,61.8
2012.64,57.3
2012.667,61.1
2012.694,59.5
2012.721,62.7
2012.748,62.4
2012.776,63.3
2012.803,60.4
2012.83,60.5
2012.857,62.1
2012.884,62
2012.911,61.2
2012.938,64.6
2012.965,61.9
2012.992,62.9
2013.019,62.9
2013.047,62.6
2013.074,64.9
2013.101,64
